Num,paintKey,idPaint,batchNumber,carBrand,paintCodeAndName,paintCode,paintName,initYear,endYear,paintBrand,typePaint,purchaseDate,Unit,Layer,Volume
111,PBN-5360385-B,5360385,-,Chevrolet,GAR / WA501Q / Carbon Flash Metallic,GAR / WA501Q , Carbon Flash Metallic,2008,2016,Pro//Base National Rule - Pbn,Basecoat,06/15/2017,1 ,1 ,0.473 L
112,PBT-100125458-B,100125458,12167680,Chevrolet,GAR / 58 / WA501Q / 501Q / Carbon Flash Metallic,GAR / 58 / WA501Q / 501Q , Carbon Flash Metallic,2008,2018,PBT,Basecoat,10/18/2018,1 ,1 ,0.473 L
113,C6-4966043-B,4966043,-,Ford,L2 / True Blue Metallic,L2 , True Blue Metallic,2001,2009,Crossfire B/C,Basecoat,01/15/2017,1 ,1 ,0.473 L
114,-,-,-,Hyundai,9W / Laguna Sand Metallic,9W , Laguna Sand Metallic,2007,2010,Crossfire Platinum B/C 5.0,Basecoat,04/08/2014,1 ,1 ,0.473 L
115,PBT-1397499-C,1397499,-,Toyota,1C7 / Thunder Gray Metallic,1C7 , Thunder Gray Metallic,-,-,PBT,-,-,1 ,1 ,0.473 L
116,C6-4957104-A,4957104,23188895,Ford,PH / Creme Brulee,PH , Creme Brulee,-,-,C6 - Crossfire B/C,-,10/11/2021,1 ,1 ,0.473 L
117,PBN-5377428-B,5377428,-,Toyota,8V5 / Shoreline BLUE Pearl,8V5 , Shoreline BLUE Pearl,2010,2015,Pro//Base National Rule - Pbn,Basecoat,11/01/2017,1 ,1 ,0.473 L
118,-,4952790,-,Ford,9L / M5920A / Oxford White,9L / M5920A , Oxford White,1983,2001,C6 - Crossfire B/C,-,-,1 ,1 ,0.473 L
119,PBT-100936458-A,100936458,-,Chevrolet,G7Q / WA139X / 139X / Son Of A Gun Gray Metallic,G7Q / WA139X / 139X , Son Of A Gun Gray Metallic,2016,2021,PBT,-,-,1 ,1 ,0.473 L
120,-,5374100,-,Toyota,070 / Blizzard Pearl,070 , Blizzard Pearl,-,-,Pro//Base National Rule - Pbn,-,-,1 ,1 ,0.473 L
121,PBN-100989713-B,100989713,22240326,Subaru,F4T / Cypress Green Pearl,F4T , Cypress Green Pearl,2010,2014,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
122,C6-4955658-A,4955658,9389234,Chevrolet,WA8554 / 8554 / White,WA8554 / 8554 , White,1991,2015,C6,-,03/12/2018,1 ,1 ,0.473 L
